Entrée;Plat principal;Garniture;Produit laitier ou divers;Dessert
Carottes râpées (pour les mater) / Pomelo et sucre (en élémentaire);Sauté de porc sauce moutarde;Macaronis semi-complètes;Fromage frais aux fruits;
Melon;Sauté de poulet;Semoule;Fromage blanc sucré;
Salade Parisienne;Sauté de poulet au jus;Haricots verts et Gratin Dauphinois;;Pain perdu sauce chocolat
Pastèque;Sauté de poulet au jus;Brocolis au fromage fondu;;Riz au lait
;Sauté de poulet de l'Argoat;Printanière de légumes;Yaourt nature sucré;Orange Global Gap
;Sauté de poulet de l'Argoat à la canadienne;Carottes;Mimolette;Clafoutis aux myrtilles
;Sauté de poulet de l'Argoat au jus;Carottes et penne;Camembert;Pomme
;Sauté de poulet de l'Argoat au jus;Ratatouille et blé;Petit Roulé;Ananas
Concombre et dés de Cantal;Sauté de poulet de l'Argoat sauce arrabiata;Semoule aux petits légumes;;Purée de poires
Tomate vinaigrette et dés de cantal AOP;Sauté de poulet de l'Argoat sauce miel-poivron;Semoule;;Purée de pommes
;Sauté de poulet de l'Argoat sauce moutarde;Chou fleur Bio et Pommes de terre (Bio);Fromage à tartiner;Fraise
;Sauté de poulet de l'Argoat sauce moutarde;Jardinière de légumes et pommes de terre;Yaourt nature sucré;Poire
;Sauté de poulet de l'Argoat sauce pruneaux d'Agen;Carottes et noisettes de polenta;Saint Paulin;Poire
;Sauté de poulet de l'Argoat Tandoori;Carottes et noisettes de polenta;Yaourt aromatisé vanille;Pomme Bio
;Sauté de poulet Label Rouge au jus;Gratin de chou-fleur Bio et gnocchi;Yaourt nature sucré Bio;Kiwi
Carottes râpées sauce vinaigrette à l'orange;Sauté de poulet Label Rouge au jus;Duo de haricots verts et beurre;;Polenta crémeuse au chocolat blanc
Mâche sauce vinaigrette;Sauté de poulet Label Rouge au jus;Haricots verts;;Riz au lait
;Sauté de poulet Label Rouge au jus;Petits pois / Pommes de terre Bio;Bûche mi-chèvre;Pomme Bio
;Sauté de poulet Label Rouge sauce comtoise;Haricots verts et pommes de terrre Bio;Gouda;Banane Bio Commerce Equitable
Carottes râpées sauce vinaigrette passion;Sauté de poulet Label Rouge sauce moutarde;Pomme paillasson;;Yaourt aromatisé
;Sauté de poulet Label Rouge sauce moutarde;Petits pois et riz Bio Commerce Equitable;Gouda;Mangue
Guacamole et gressin;Sauté de poulet sauce arrabiata;Semoule;Yaourt nature sucré;
Salade verte vinaigrette;Sauté de poulet sauce arrabiata;Gnocchi de pommes de terre;Yaourt saveur coco Malo;
Houmous de lentilles corail et carottes;Sauté de poulet sauce arrabiata (tomate, basilic);Ratatouille;Port Salut;Abricot
Houmous de lentilles corail et carottes;Sauté de poulet sauce arrabiata (tomate, basilic);Poêlée de légumes;Port Salut;Abricot
Coleslaw rouge;Sauté de poulet sauce barbecue;Frites;Yaourt nature sucré;
Céleri rémoulade;Sauté de poulet sauce forestière;Macaronis semi-complètes;Yaourt à la vanille;
Houmous de betteraves et pain pita;Sauté de poulet sauce miel poivron;Haricots verts;Emmental;Orange
;Sauté de poulet sauce miel-poivron;Chou-fleur et pommes de terre;Gouda;Banane
Rillettes de thon;Sauté de poulet sauce moutarde;Semoule;Camembert;Orange
Velouté Darblay;Sauté de poulet sauce moutarde;Macaronis semi-complètes;Camembert;Poire
Soupe de butternut;Sauté de poulet sauce moutarde;Petits pois et petit épautre;Camembert;Pomme
Tartinade de haricots rouges et épices mexicaines, pain de mie;Sauté de poulet sauce pomme curry crémée;Haricots verts;Fromage frais sucré Malo;Banane
Cake aux pois chiches sauce fromage blanc;Sauté de poulet sauce tandoori;Haricots verts;Chaussée aux moines;Banane
;Sauté de poulet sauce Yassa;Courgettes et riz;Yaourt aromatisé;Fraises
Concombre vinaigrette au basilic;Sauté de thon sauce fines herbes;Riz aux petits légumes;Fromage frais aux fruits;
Salade vinaigrette, dés de jambon et croûtons;Sauté de veau à la provençale;Chou-fleur et riz;;Yaourt aux fruits mixés
Concombre vinaigrette Rêve de Cochin;Sauté de veau Label Rouge sauce printanière;Jardinière de légumes et pommes de terre Bio;;Yaourt aux fruits mixés
Concombre et rondelles de radis vinaigrette au miel;Sauté de veau Label Rouge sauce provençale;Carottes et semoule Bio;;Yaourt aux fruits mixés
Pastèque;Sauté de veau LR printanière;Ratatouille /Blé;Yaourt brassé sucré;
Melon;Sauté de veau Marengo;Jardinière de légumes et pommes de terre;;Yaourt aux fruits mixés
;Sauté de veau Marengo;Printanière de légumes;Coulommier;Nectarine
Betteraves vinaigrette;Sauté de veau marengo;Printanière de légumes;;Lait gélifié saveur vanille
Pastèque;Sauté de veau marengo;Carottes et penne;Yaourt nature sucré;
Carottes râpées;Sauté de veau marengo;Duo de courgettes et penne;;Yaourt à la vanille
Carottes râpées vinaigrette à l'orange;Sauté de veau marengo (provençale);Haricots verts et noisettes de polenta;Yaourt nature sucré;
Endive et rillettes de surimi;Sauté de veau sauce miroton;Purée de choux de Bruxelles;Riz au lait;
Pastèque;Sauté de veau sauce printanière;Tomates à la provençale et semoule;;Lacté chocolat
Concombre vinaigrette;Sauté de veau sauce printanière;Purée de carottes;;Lacté vanille
Pastèque;Sauté de veau sauce printanière;Tomates à la provençale et semoule;;Lacté chocolat
Duo de carottes et courgettes râpées au curry;Sauté de veau sauce tomate basilic;Chou-fleur et pommes de terre;;Lacté chocolat
;Sautéde bœuf sauce provençale;Gratin de chou-fleur;Yaourt aux fruits mixés;Banane
;Semoule Bio, pois chiches, légumes et fromage;;Yaourt aromatisé;Nectarine
Potage de chou-vert au fromage frais;Semoule Bio, pois chiches, légumes et mozzarella;;;Poire
;Semoule et pois chiches aux légumes et mozzarella;;Yaourt aux fruits mixés;Banane sauce chocolat
Velouté de légumes et fromage frais;Semoule, Pois Chiches, légumes et mozzarella;;;Banane
Velouté de légumes racines et fromage râpé;Steak haché au veau sauce forestière;Carottes;;Gâteau au yaourt
Mortadelle;Steak haché Charolais sauce au bleu;Petits pois;Gouda;Compote allégée pomme-vanille
Tomates vinaigrette au basilic;Steak haché Charolais sauce barbecue;Pomme smile;Mélusin;Yaourt aux fruits mixés
Salade coleslaw;Steak haché charolais sauce barbecue;Frites;Yaourt aromatisé;Pomme
Salade coleslaw;Steak haché charolais sauce barbecue;Frites;Yaourt aromatisé;Pomme
Salade Iceberg et emmental;Steak haché charolais sauce barbecue;Frites;Edam;Compote allégée de pommes
Houmous de betteraves;Steak haché Charolais sauce barbecue;Petits pois;Yaourt Vrai à la framboise;Pomme
Carottes râpées vinaigrette;Steak haché Charolais sauce barbecue;Tortis;Petit Filou;Pomme
Coleslaw;Steak haché charolais sauce barbecue;Semoule;Mélusin;Compote allégée de pomme
Carottes râpées;Steak haché Charolais sauce barbecue;Pomme smile;Mélusin;Fraises
Quiche courgettes-lardons;Steak haché Charolais sauce barbecue;Pommes smile;Yaourt Malo à la vanille;Kiwi
Melon;Steak haché Charolais sauce barbecue;Tortis;Coulommiers;Mousse au chocolat
Salade de blé et carottes;Steak haché Charolais sauce barbecue;Haricots verts;Coulommiers;Compote allégée pomme-vanille
Carottes râpées à l'orange;Steak haché charolais sauce poivre;Pomme smile;Yaourt aux fruits mixés;Poire
Tomates au basilic;Steak haché charolais sauce poivre;Purée de pomme de terre;Rondelé;Poire
Concombre sauce Bulgare;Steak haché Charolais sauce poivre;"Pommes ""paillasson""";P'tit Louis;Pomme
Salade Iceberg et emmental râpé;Steak haché charolais sauce poivre;Frites;Yaourt nature sucré;"Fruit de saison ""Poire"""
Pâté Hénaff;Steak haché Charolais sauce poivre;Carottes;P'tit Louis;Flan nappé caramel
Carottes râpées;Steak haché Charolais sauce poivre;Coquillettes;Emmental râpé;Yaourt aux fruits mixés
Salade Iceberg et emmental;Steak haché charolais sauce poivre;Pommes noisettes;;Liégeois au chocolat
;Steak haché de bœuf;Haricots verts et noisettes de polenta;Yaourt brassé sucré;Prune
Potage de légumes;Steak haché de bœuf;Pomme smile;Petit Filou;Poire
Houmous et mini pain pita;Steak haché de bœuf;Petits pois;Tomme blanche;Pomme
Tomates vinaigrette;Steak haché de bœuf;Ratatouille et blé;Riz au lait;
;Steak haché de bœuf au jus;Semoule et carottes;Yaourt aux fruits mixés;Raisin
;Steak haché de bœuf au jus;Purée façon truffade;Gouda;Pomme
Rillettes de thon;Steak haché de bœuf Charolais au jus;Macaronis semi-complètes;Carré;Pomme
Tomates vinaigrette;Steak haché de bœuf charolais sauce au bleu;Haricots verts;Entremets à la vanille;Biscuit palmier
;Steak haché de bœuf Charolais sauce barbecue;Pommes paillasson;Coulommiers;Poire
Carottes râpées vinaigrette;Steak haché de bœuf Charolais sauce barbecue;Pomme smile;Fromage blanc;Coulis de fruits rouges
Macédoine mayonnaise;Steak haché de bœuf charolais sauce barbecue;Coquillettes;Petit-filou;Poire
Betteraves;Steak haché de bœuf Charolais sauce barbecue;Semoule;Yaourt nature sucré Vrai;Banane
;Steak haché de bœuf Charolais sauce barbecue;Pommes smile;Yaourt aromatisé;Banane Bio Commerce Equitable
Melon;Steak haché de bœuf Charolais sauce barbecue;"Pomme ""paillasson""";Gouda;Poire au sirop
Pastèque;Steak haché de bœuf Charolais sauce barbecue;Pommes noisettes;Coulommiers;Gâteau au yaourt
Tomates, féta, vinaigrette basilic;Steak haché de bœuf Charolais sauce barbecue;Macaronis semi-complètes;Yaourt nature sucré;
Tomates, féta, vinaigrette basilic;Steak haché de bœuf Charolais sauce barbecue;Macaronis semi-complètes;Yaourt nature sucré;
Concombre vinaigrette;Steak haché de bœuf Charolais sauce barbecue;Brocolis / Mélange de 5 céréales;Yaourt Le P'tit Gallo;Biscuit
Betteraves vinaigrette;Steak haché de bœuf Charolais sauce barbecue;Tortis;Camembert;Pomme
Rillettes de thon et Vache Qui Rit;Steak haché de bœuf Charolais sauce poivre;Purée de légumes;;Cake et lacté pomme-framboise
Salade de coquillettes au thon;Steak haché de bœuf Charolais sauce poivre;Carottes;Vache Picon;Fromage frais sucré à la vanille
;Steak haché de bœuf Charolais sauce poivre;Brocolis et pomme de terre bio béchamel;Fromage frais aux fruits;Orange
Salade verte et croûtons;Steak haché de bœuf et ketchup;Petits pois;Riz au lait;
Potage de légumes verts au fromage frais;Steak haché de bœuf sauce au poivre;Haricots verts et pommes de terre;;Kiwi
Saucisson à l'ail;Steak haché de bœuf sauce barbecue;Purée de petits pois;Saint-Môret;Pomme
Carottes râpées vinaigrette;Steak haché de bœuf sauce barbecue;Tortis;Emmental;Tarte flan poire-chocolat
Salade Iceberg;Steak haché de bœuf sauce barbecue;Purée de pommes de terre;Camembert;Compote allégée pommes-bananes
Betteraves vinaigrette;Steak haché de bœuf sauce barbecue;Haricots verts;Saint-paulin;Beignet aux pommes
Concombre vinaigrette;Steak haché de bœuf sauce barbecue;Brocolis / Mélange de 5 céréales;Riz au lait;
Cake au sarrasin et sauce mozzarella;Steak haché de bœuf sauce ketchup;Haricots beurre;Coulommiers;Kiwi
;Steak haché de bœuf sauce miroton;Ratatouille et blé;Yaourt aormatisé;Kiwi
;Steak haché de bœuf sauce miroton;Purée de légumes;Fromage frais aux fruits;Banane
Céleri sauce cocktail;Steak haché de bœuf sauce poivre;Carottes;Saint Paulin;Beignet aux pommes
Salade Iceberg et emmental;Steak haché de bœuf sauce poivre;Purée de potiron;;Galette des rois
Carottes râpées vinaigrette;Steak haché de bœuf sauce poivre;Purée de potiron;Petit moulé;Compote allégée pomme-banane
Betteraves;Steak haché de bœuf sauce poivre;Pommes smile;Yaourt nature sucré Vrai;Kiwi
;Steak haché de bœuf sauce poivre;Chou-fleur et pommes de terre;Yaourt brassé sucré;Banane
Salade Iceberg, vinaigrette à la moutarde à l'ancienne;Steak haché de bœuf sauce poivre;Semoule;Fromage blanc;Coulis de fruits exotiques
Potage de carottes;Steak haché sauce barbecue;Pommes paillasson;Yaourt nature sucré Vrai;Kiwi
Melon;Steak haché sauce barbecue;Pommes paillasson;Vache Picon;Mousse au chocolat
Melon;Steak haché sauce barbecue;Macaronis semi-complètes;Yaourt à la vanille;
Carottes râpées vinaigrette;Steak haché sauce barbecue;Pommes smile;Coulommiers;Mousse au chocolat
Salade Iceberg et emmental;Steak haché sauce barbecue;Petits pois;;Liégeois au chocolat
;Steak haché sauce ketchup;Fusilis;Brie;Orange
;Steak haché sauce miroton;Petits pois fermière;Brie;Gâteau façon financière
;Steak haché sauce moutarde;Pomme smile;Carré;Clémentine Global Gap
Betteraves vinaigrette;Steak haché sauce poivre;Pommes smile;Emmental;Yaourt aux fruits mixés
Salade de coquillettes au thon;Steak haché sauce poivre;Carottes;Coulommiers;Raisin
;Steak haché sauce poivre;Coquillettes;Coulommiers;Pomme
;Steak haché sauce poivre;Chou fleur et pommes de terre Bio;Yaourt aromatisé;Banane Bio/CE
;Steak haché sauce poivre;Haricots verts et pommes de terre;Yaourt à la vanille;Banane
;Steak haché sauce poivre;Haricots verts et pommes de terre;Yaourt à la vanille;Banane
;Steak haché sauce tomate;Semoule;Brie;Kiwi
Carottes râpées vinaigrette;Surimi;Salade de coquillettes;Edam;Pêche
;Tajine d'agneau aux pruneaux;Purée de carottes;Tomme noire;Pomme
;Tajine d'agneau aux pruneaux;légumes de couscous et pois chiches;Tomme noire;Banane
;Tajine de bœuf;Semoule;Petits Suisse aux fruits;Nectarine
Concombre vinaigrette;Tajine de bœuf;Semoule;Yaourt Malo Bio à la vanille;Clémentine
;Tajine de bœuf;Légumes de couscous;Yaourt nature sucré;Nectarine
;Tajine de bœuf;Semoule;Petits Suisse aux fruits;Raisin
Carottes râpées sauce vinaigrette à l'orange;Tajine de dinde sauce poire miel cumin cannelle;Petits pois et riz;;Yaourt nature sucré
Salade d'agrumes;Tajine de poulet et mouton aux pruneaux;Semoule;Brie;Moelleux à la fleur d'oranger
;Tajine marocain;Semoule;Yaourt nature sucré;Salade orange cannelle
Concombre et maïs;Tarte au fromage;;Yaourt Le P'tit Gallo fraise;Biscuit
;Tarte potiron, oignon et marron;;Yaourt nature sucré;Banane
Bouillon alphabet;Tarte potiron, oignon et marron;;Yaourt nature sucré Vrai vanille;Banane
Salade Iceberg et croûtons;Tartiflette;;Gouda;Flan nappé au caramel
Salade Iceberg;Tartiflette;;Yaourt nature sucré Le P'tit Gallo;Kiwi
Salade Iceberg;Tartiflette;;Yaourt Malo à la vanille;Clémentine
Potage de brocolis;Tartiflette;;Yaourt nature sucré Le P'tit Gallo;Poire
Salade Iceberg et croûtons;Tartiflette;;Yaourt Malo à la vanille;Orange
Salade vinaigrette;Tartiflette;;Yaourt aromatisé;
Salade vinaigrette;Tartiflette;;;Pomme au four
Mâche vinaigrette crémeuse;Tartiflette;;Petit Filou;Orange
Salade Iceberg;Tartiflette;;Petits Malins aux fruits;Pomme
Salade Iceberg;Tartiflette;;Yaourt nature sucré;
Velouté de légumes verts;Tartiflette;;Yaourt nature sucré Vrai;Clémentine
;Tartiflette chou-fleur, pommes de terre;;Fromage frais aux fruits;Pomme
Panais rémoulade aux pommes et Cantal AOP;Thon sauce tomate;Penne semi-complète;;Crème dessert praliné
Pastèque;Tomate farcie;Riz créole;Emmental;Banane
Soupe de brocolis et mascarpone;Torsade au potiron , carotte et mozzarella;Salade verte;;Purée de pomme fraise
Carottes râpées à la vanille;Tortellini ricotta, mozzarella à la sauce tomate;;Yaourt nature sucré Vrai;Pomme
;Torti à la bolognaise;;Camembert;Nectarine
Velouté de potiron;Torti sauce fromagère;;;Pomme
Salade coleslaw;Tortilla aux pommes de terre;;Flan Malo chocolat;
Rillette de colin;Tortilla aux pommes de terre et poulet;;;Banane crème fouettée et vermicelles au chocolat
Salade Verte Bio (sce vinaigrette), guacamole, chips tortilla;Tortilla de bœuf mexicaine;;Emmental râpé;Brownie mexicain
Salade verte;Tortilla de pomme de terre;;Crème dessert chocolat Le P'tit Gallo;
Tartine de poivron et chips de maïs;Tortilla de pommes de terre;;Tomme Catalane;Salade de fruits
Pastèque;Tortilla de pommes de terre;;Emprésuré chocolat Malo;
Salade verte locale vinaigrette;Tortilla de pommes de terre;;Yaourt aromatisé;Biscuit langue de chat
Salade verte et croûtons;Tortilla de pommes de terre;;Crème dessert vanille;
Salade verte;Tortilla de pommes de terre;;Crème dessert chocolat Le P'tit Gallo;
Salade iceberg;Tortilla de pommes de terre;;Crème dessert chocolat Le P'tit Gallo;
Radis beurre;Tortilla pommes de terre;Salade Iceberg;Flan Malo chocolat;
Tomates vinaigrette;Tortis à la bolognaise;;Fromage blanc;Nectarine
Carottes râpées vinaigrette;Tortis à la bolognaise;;Edam;Flan nappé caramel
Crème de courgettes et petits pois;Tortis à la bolognaise;;Fromage blanc;Coulis de fraise
Velouté de carottes;Tortis à la bolognaise;;Yaourt aux fruits mixés;"Fruit de saison ""Kiwi"""
Salade Iceberg et croûtons;Tortis à la bolognaise;;Fromage fondu au camembert;Kiwi
Pastèque;Tortis à la bolognaise;;Fromage blanc;Coulis de fruits rouges
;Tortis à la bolognaise;;Fromage blanc sucré;Fraises
Tomates vinaigrette;Tortis à la bolognaise;;Fromage blanc;Nectarine
Carottes râpées vinaigrette;Tortis à la bolognaise;;Fromage blanc;Coulis de fruits exotiques
;Tortis à la bolognaise;;Brie;Banane
;Tortis à la bolognaise;;;
;Tortis à la bolognaise;;Fromage blanc sucré;Fraises
Carottes râpées vinaigrette;Tortis à la bolognaise;;Fromage blanc;Coulis de fruits exotiques
Salade Iceberg;Tortis à la bolognaise;;Fromage blanc;Coulis de fruits rouges
Pastèque;Tortis à la bolognaise;;Yaourt Malo à la vanille;Poire
Salade Iceberg;Tortis à la bolognaise;;Fromage blanc;Coulis de fruits rouges
Salade iceberg, oignons frits et vinaigrette au citron;Tortis à la bolognaise;;Yaourt aux fruits mixés;Kiwi
Salade Iceberg;Tortis à la bolognaise;;Fromage blanc;Coulis de fraises
Melon;Tortis à la bolognaise;;Vache Picon;Compote allégée en sucre pommes-cassis
Potage de légumes verts;Tortis à la bolognaise;;Emmental;Compote allégée de pomme-banane
Melon;Tortis à la Bolognaise;;Fromage blanc;Coulis de fruits rouges
;Tortis à la bolognaise;;Yaourt brassé sucré;Kiwi
Carottes râpées et mozzarella;Tortis à la bolognaise;;Fromage frais aux fruits;
Pastèque;Tortis à la bolognaise;;Fromage blanc;Coulis de fruits rouges
Saucisson à l'ail;Tortis à la bolognaise;;Mélusin;Clafoutis
Potage de brocolis;Tortis à la bolognaise;;Camembert;Poire
Tomate mozzarella;Tortis à la carbonara;;;Purée de pêche
Tomate vinaigrette et dés d'emmental;Tortis à la mexicaine;;;Clafoutis abricot framboise
